name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YBR198C	0.6985	0.0444	17205.5420	127.0000	95724.6120	1
YDR145W	0.8762	0.0569	3417.9591	127.0000	64296.0965	1
YDR167W	0.1921	0.0086	84350.9054	191.0000	615.7412	1
YDR176W	0.3768	0.0136	38432.9085	120.0000	862.3751	0
YDR448W	0.4502	0.0350	10528.2676	120.0000	12244.7498	0
YGL112C	0.5614	0.0482	6717.5760	131.0000	45598.2575	1
YGR252W	0.4427	0.0328	17391.5048	120.0000	15424.7744	0
YHR099W	0.7750	0.0413	3377.1867	115.0000	11578.8024	1
YMR236W	0.4714	0.0250	15592.1255	127.0000	5867.1296	1
YNL236W	0.1619	0.0520	28801.1450	15.0000	115.0999	0
YOL051W	0.6667	0.0966	411.7966	9.0000	17.4522	0
YOL148C	0.4457	0.0153	16819.1696	124.0000	788.5366	0
YOR290C	0.4444	0.0614	4212.1541	22.0000	283.6136	0
YPL254W	0.8857	0.0327	2460.7418	111.0000	3416.6388	0
YBR082C	0.3214	0.0526	10304.8837	2.0000	0.2033	0
YDR059C	0.8333	0.2182	25.4720	2.0000	0.3848	0
YDR177W	1.0000	0.3214	0.0000	2.0000	0.0000	1
YMR022W	0.4000	0.0783	2014.7557	0.0010	0.0000	0
YBR083W	0.6667	0.4286	57.5964	0.0010	0.0000	0
YKL043W	0.6667	0.0967	3366.5601	0.0010	0.0000	0
YBR085W	1.0000	0.2393	0.0000	0.0010	0.0000	0
YDL143W	0.5238	0.1205	671.0655	9.0000	54.0969	1
YBR087W	0.4000	0.1163	1583.9664	11.0000	154.1666	1
YBR088C	0.5000	0.2172	208.1228	6.0000	49.9984	1
YDR328C	0.1619	0.0351	30551.3617	42.0000	557.3090	1
YER173W	0.3474	0.0311	15264.5905	5.0000	0.6235	0
YJR068W	0.5333	0.1750	2796.0714	17.0000	6865.8276	1
YLR390W	0.6667	0.5158	157.9860	0.0010	0.0000	0
YJR043C	0.2628	0.0264	18320.3741	16.0000	9.5829	0
YOR217W	0.6667	0.3030	12.8414	7.0000	24.7605	1
YBR090C	1.0000	0.4000	0.0000	0.0010	0.0000	0
YBR091C	0.3929	0.0200	9474.3080	13.0000	1.2978	1
YDL217C	0.4762	0.0193	6401.7032	12.0000	0.7312	1
YEL020W-A	1.0000	0.3333	0.0000	9.0000	0.0000	1
YHR005C-A	0.6000	0.1750	706.2475	12.0000	686.7586	1
YOR297C	0.4762	0.0315	7862.1775	3.0000	0.0993	1
YOR334W	0.5000	0.0249	685.3911	0.0010	0.0000	0
YBR093C	0.4000	0.0493	4809.8399	0.0010	0.0000	0
YKR106W	1.0000	0.4000	0.0000	0.0010	0.0000	0
YML077W	0.3856	0.0527	6432.4244	27.0000	377.4684	1
YBR094W	0.1413	0.0290	18100.3746	5.0000	0.2265	0
YBR194W	0.3333	0.0430	2005.4578	0.0010	0.0000	0
YCR086W	0.1355	0.0217	42696.1571	6.0000	0.2795	0
YDL162C	0.2857	0.0474	1928.9094	0.0010	0.0000	0
YDR363W	0.0927	0.0236	63815.7990	0.0010	0.0000	0
YER019W	0.3636	0.0282	11714.8702	0.0010	0.0000	0
YER041W	1.0000	0.1413	0.0000	0.0010	0.0000	0
YLR234W	0.3732	0.0222	9494.5542	1.0000	0.0009	0
YLR373C	0.0581	0.0207	110830.2369	0.0010	0.0000	0
YML028W	0.4286	0.0293	5620.6964	1.0000	0.0018	0
YMR038C	0.4176	0.0329	5121.7851	0.0010	0.0000	0
YMR190C	0.2478	0.0244	19957.6471	1.0000	0.0018	0
YNL153C	0.1256	0.0098	118969.2685	12.0000	0.2360	0
YNL297C	0.3929	0.0346	1275.1186	0.0010	0.0000	0
YOR001W	0.5000	0.0206	1097.3568	0.0010	0.0000	0
YOR144C	0.2706	0.0345	10376.7613	0.0010	0.0000	0
YPL024W	0.3905	0.0315	7680.5079	0.0010	0.0000	0
YBR097W	0.6667	0.1368	74.4903	3.0000	0.4702	0
YBR288C	0.1471	0.0282	25336.9778	6.0000	0.5096	0
YLR240W	0.6667	0.2088	396.5963	5.0000	62.8082	1
YBR098W	0.4250	0.0273	4533.5010	0.0010	0.0000	0
YDR369C	0.5636	0.0355	785.1123	5.0000	0.0874	0
YKL113C	0.1786	0.0087	98506.4027	4.0000	0.0064	0
YLR235C	0.3509	0.0268	5837.4082	0.0010	0.0000	0
YBR101C	0.1538	0.0447	38949.7326	0.0010	0.0000	0
YBR014C	0.4000	0.0057	22654.0643	0.0010	0.0000	0
YHL021C	0.5000	0.1250	13145.0000	0.0010	0.0000	0
YJL117W	0.3333	0.0192	19251.5097	0.0010	0.0000	0
YKL171W	1.0000	0.1538	0.0000	0.0010	0.0000	0
YLL062C	0.6667	0.1250	225.7480	0.0010	0.0000	0
YLR074C	0.6667	0.0259	2017.6583	0.0010	0.0000	0
YLR194C	1.0000	0.1538	0.0000	0.0010	0.0000	0
YMR092C	0.4000	0.0754	6202.1851	5.0000	10.0201	0
YMR173W	0.5000	0.1176	684.3734	0.0010	0.0000	0
YOL011W	0.5000	0.0216	4408.4812	0.0010	0.0000	0
YPL136W	0.6667	0.1333	1580.4432	0.0010	0.0000	0
YBR102C	0.6000	0.0389	910.8590	3.0000	0.0339	1
YLR166C	0.2857	0.0477	5859.3352	11.0000	11.5024	1
YDR227W	0.3333	0.0929	10319.8233	9.0000	187.0204	0
YGL023C	0.6667	0.1356	777.2842	0.0010	0.0000	0
YGL236C	0.2857	0.0111	14567.4859	1.0000	0.0001	1
YIL112W	0.5000	0.0732	241.8253	3.0000	0.0940	0
YJR141W	0.3333	0.0082	13068.6387	0.0010	0.0000	1
YMR061W	0.4000	0.0473	5522.0033	23.0000	134.8859	1
YOR319W	0.2857	0.0566	6339.6784	10.0000	18.5443	1
YBR107C	0.7429	0.0199	22166.5719	15.0000	8.6790	0
YPL018W	0.4964	0.0260	17697.5426	39.0000	236.4495	0
YBR108W	0.6071	0.0490	2303.5591	0.0010	0.0000	0
YCR009C	0.1748	0.0167	49385.8037	1.0000	0.0007	0
YGR136W	0.2857	0.0207	5763.6543	0.0010	0.0000	0
YBR109C	0.2000	0.0594	7795.0810	4.0000	1.2405	1
YCR065W	0.3091	0.0589	2521.9555	0.0010	0.0000	0
YDR356W	0.5000	0.1186	609.2395	12.0000	104.0650	1
YFR014C	1.0000	0.2000	0.0000	0.0010	0.0000	0
YGL043W	0.3333	0.0229	4678.6079	0.0010	0.0000	0
YLR433C	0.2500	0.0175	7599.1716	0.0010	0.0000	0
YML057W	0.3333	0.0409	1385.2493	0.0010	0.0000	0
YMR109W	0.3077	0.0200	26578.8787	11.0000	1.7342	0
YOL016C	0.4000	0.0280	1498.3473	0.0010	0.0000	0
YBR110W	1.0000	0.4000	0.0000	0.0010	0.0000	1
YBR112C	0.2857	0.0326	5300.5062	4.0000	0.1099	1
YCR084C	0.5000	0.1648	459.4926	4.0000	10.8550	0
YDL194W	0.1818	0.0887	18808.5882	0.0010	0.0000	0
YDR043C	1.0000	0.0961	0.0000	0.0010	0.0000	0
YMR240C	0.2222	0.0656	7588.3384	10.0000	31.1987	1
YOR140W	0.2500	0.0292	6337.4495	0.0010	0.0000	0
YBR113W	1.0000	0.1123	0.0000	0.0010	0.0000	0
YDL043C	0.1123	0.0286	42738.6589	48.0000	355.4579	1
YBR114W	0.4000	0.0502	3807.2805	8.0000	4.9547	0
YJR052W	0.6667	0.2121	17.4951	12.0000	40.8043	0
YLR147C	0.1250	0.0511	23786.9484	16.0000	82.7886	1
YBR117C	0.6667	0.0186	2035.5444	0.0010	0.0000	0
YLR249W	0.5000	0.0889	7260.1416	8.0000	116.0312	1
YBR119W	0.2500	0.0764	5635.2575	1.0000	0.0481	0
YDR110W	0.2000	0.0150	25042.0362	0.0010	0.0000	0
YLR223C	0.6667	0.2000	29.6542	0.0010	0.0000	1
YLR449W	0.4000	0.0228	1840.5391	0.0010	0.0000	0
